Emission Factor Title,Sector,Unit Type,Emission Factor,Source
Polyester textiles,Consumer Goods and Services,kg/tonne,25.7,CAEP
Silk fabric,Consumer Goods and Services,kg/tonne,18.7,CAEP
Staple fiber yarn,Consumer Goods and Services,kg/tonne,3.16,CAEP
Textiles,Consumer Goods and Services,kg/tonne,7.85,CAEP
Wool cloth strips,Consumer Goods and Services,kg/tonne,2.23,CAEP
Bicycle tire,Materials and Manufacturing,kg/tonne,2.92,CAEP
Electricity supplied from grid - residual mix - supplier Algonquin Power & Utilities Corp. Liberty Utilities,Energy,kg/kWh,0.4408,EEI
Electricity supplied from grid - residual mix - supplier ALLETE Minnesota Power,Energy,kg/kWh,0.4227,EEI
Electricity supplied from grid - residual mix - supplier Alliant Energy Corp. - Interstate Power & Light (IPL),Energy,kg/kWh,0.3819,EEI
Electricity supplied from grid - residual mix - supplier Alliant Energy Corp. - Wisconsin Power & Light (WPL),Energy,kg/kWh,0.5257,EEI
Electricity supplied from grid - residual mix - supplier Alliant Energy Corporation Interstate Power & Light Company,Energy,kg/kWh,0.4804,EEI
Electricity supplied from grid - residual mix - supplier Alliant Energy Corporation Wisconsin Power & Light Company,Energy,kg/kWh,0.5869,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power AEP Ohio,Energy,kg/kWh,0.4378,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company,Energy,kg/kWh,0.6599,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company - Kingsport Power,Energy,kg/kWh,0.4232,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Appalachian Power Company - Wheeling Power,Energy,kg/kWh,0.6497,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Indiana Michigan Power Company,Energy,kg/kWh,0.1988,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Kentucky Power Company,Energy,kg/kWh,0.6227,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Public Service Company of Oklahoma,Energy,kg/kWh,0.5337,EEI
Electricity supplied from grid - residual mix - supplier American Electric Power Southwestern Electric power Company,Energy,kg/kWh,0.6177,EEI
Electricity supplied from grid - residual mix - supplier Avista Corporation Avista Utilities,Energy,kg/kWh,0.3159,EEI
Electricity supplied from grid - residual mix - supplier Black Hills Energy,Energy,kg/kWh,0.7339,EEI
Electricity supplied from grid - residual mix - supplier CMS Energy Consumers Energy,Energy,kg/kWh,0.5618,EEI
Electricity supplied from grid - residual mix - supplier Dominion Energy,Energy,kg/kWh,0.2626,EEI
Electricity supplied from grid - residual mix - supplier Dominion Energy South Carolina Electric & Gas,Energy,kg/kWh,0.4173,EEI
Electricity supplied from grid - residual mix - supplier Dominion Energy Virginia,Energy,kg/kWh,0.2998,EEI
Electricity supplied from grid - residual mix - supplier DTE Energy,Energy,kg/kWh,0.5348,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Carolinas,Energy,kg/kWh,0.2531,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Corporation,Energy,kg/kWh,0.381,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Florida,Energy,kg/kWh,0.4472,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Indiana,Energy,kg/kWh,0.8623,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Kentucky,Energy,kg/kWh,0.9194,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Ohio,Energy,kg/kWh,0.6686,EEI
Electricity supplied from grid - residual mix - supplier Duke Energy Progress,Energy,kg/kWh,0.2386,EEI
Electricity supplied from grid - residual mix - supplier Edison International Southern California Edison,Energy,kg/kWh,0.1702,EEI
Electricity supplied from grid - residual mix - supplier El Paso Electric Company,Energy,kg/kWh,0.22,EEI
Electricity supplied from grid - residual mix - supplier Emera Tampa Electric,Energy,kg/kWh,0.3983,EEI
Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Arkansas,Energy,kg/kWh,0.1783,EEI
Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Louisiana,Energy,kg/kWh,0.3475,EEI
Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Mississippi,Energy,kg/kWh,0.3352,EEI
Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy New Orleans,Energy,kg/kWh,0.1687,EEI
Electricity supplied from grid - residual mix - supplier Entergy Corporation Entergy Texas,Energy,kg/kWh,0.4817,EEI
Electricity supplied from grid - residual mix - supplier Exelon Atlantic City Electric,Energy,kg/kWh,0.3214,EEI
Electricity supplied from grid - residual mix - supplier Exelon Baltimore Gas & Electric,Energy,kg/kWh,0.3788,EEI
Electricity supplied from grid - residual mix - supplier Exelon ComEd,Energy,kg/kWh,0.0388,EEI
Electricity supplied from grid - residual mix - supplier Exelon Delmarva Power,Energy,kg/kWh,0.3801,EEI
Electricity supplied from grid - residual mix - supplier Exelon PECO,Energy,kg/kWh,0.373,EEI
Electricity supplied from grid - residual mix - supplier Exelon PEPCO,Energy,kg/kWh,0.3675,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Jersey Central Power & Light,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Met-Ed,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Mon Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Ohio Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Penelec,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Penn Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Potomac Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. The Illuminating Company,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. Toledo Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier First Energy Corp. West Penn Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - residual mix - supplier Hawaiian Electric Industries Hawaiian Electric Company,Energy,kg/kWh,0.0,EEI
Electricity supplied from grid - residual mix - supplier MGE Energy Madison Gas and Electric Company,Energy,kg/kWh,0.5987,EEI
Electricity supplied from grid - residual mix - supplier Next Era Energy Florida Power & Light,Energy,kg/kWh,0.3035,EEI
Electricity supplied from grid - residual mix - supplier Next Era Energy Gulf Power Company,Energy,kg/kWh,0.4599,EEI
Electricity supplied from grid - residual mix - supplier NiSource NIPSCO,Energy,kg/kWh,0.6074,EEI
Electricity supplied from grid - residual mix - supplier NorthWestern Energy,Energy,kg/kWh,0.4593,EEI
Electricity supplied from grid - residual mix - supplier Otter Tail Corporation Otter Tail Power Company,Energy,kg/kWh,0.5337,EEI
Electricity supplied from grid - residual mix - supplier PG&E Corporation Pacific Gas & Electric Company,Energy,kg/kWh,0.0254,EEI
Electricity supplied from grid - residual mix - supplier Pinnacle West Capital Corporation Arizona Public Service Company,Energy,kg/kWh,0.0,EEI
Electricity supplied from grid - residual mix - supplier PNM Resources PNM,Energy,kg/kWh,0.3199,EEI
Electricity supplied from grid - residual mix - supplier PPL Corporation LG&E & KU Energy,Energy,kg/kWh,0.8636,EEI
Electricity supplied from grid - residual mix - supplier PPL Corporation PPL Electric Utilities,Energy,kg/kWh,0.3679,EEI
Electricity supplied from grid - residual mix - supplier PPL Corporation Rhode Island Energy,Energy,kg/kWh,0.2921,EEI
Electricity supplied from grid - residual mix - supplier PSEG Long Island,Energy,kg/kWh,0.4001,EEI
Electricity supplied from grid - residual mix - supplier Puget Sound Energy,Energy,kg/kWh,0.4009,EEI
Electricity supplied from grid - residual mix - supplier Southern Company Alabama Power,Energy,kg/kWh,0.4831,EEI
Electricity supplied from grid - residual mix - supplier Southern Company Georgia Power,Energy,kg/kWh,0.3683,EEI
Electricity supplied from grid - residual mix - supplier Southern Company Mississippi Power,Energy,kg/kWh,0.4731,EEI
Electricity supplied from grid - residual mix - supplier Tennessee Valley Authority,Energy,kg/kWh,0.2835,EEI
Electricity supplied from grid - residual mix - supplier Xcel Energy Northern States Power Company,Energy,kg/kWh,0.2508,EEI
Electricity supplied from grid - residual mix - supplier Xcel Energy Public Service Company of Colorado,Energy,kg/kWh,0.4259,EEI
Electricity supplied from grid - residual mix - supplier Xcel Energy Southwestern Public Service Company,Energy,kg/kWh,0.4345,EEI
Electricity supplied from grid - supplier Algonquin Power & Utilities Corp. Liberty Utilities,Energy,kg/kWh,0.4408,EEI
Electricity supplied from grid - supplier ALLETE Minnesota Power,Energy,kg/kWh,0.4227,EEI
Electricity supplied from grid - supplier Ameren Corporation Ameren Illinois,Energy,kg/kWh,0.48,EEI
Electricity supplied from grid - supplier Ameren Corporation Ameren Missouri,Energy,kg/kWh,0.595,EEI
Electricity supplied from grid - supplier American Electric Power AEP Ohio,Energy,kg/kWh,0.4378,EEI
Electricity supplied from grid - supplier American Electric Power Appalachian Power Company,Energy,kg/kWh,0.6479,EEI
Electricity supplied from grid - supplier American Electric Power Appalachian Power Company - Kingsport Power,Energy,kg/kWh,0.4232,EEI
Electricity supplied from grid - supplier American Electric Power Appalachian Power Company - Wheeling Power,Energy,kg/kWh,0.6497,EEI
Electricity supplied from grid - supplier American Electric Power Indiana Michigan Power Company,Energy,kg/kWh,0.1894,EEI
Electricity supplied from grid - supplier American Electric Power Kentucky Power Company,Energy,kg/kWh,0.6227,EEI
Electricity supplied from grid - supplier American Electric Power Public Service Company of Oklahoma,Energy,kg/kWh,0.4015,EEI
Electricity supplied from grid - supplier American Electric Power Southwestern Electric power Company,Energy,kg/kWh,0.5707,EEI
Electricity supplied from grid - supplier Avista Corporation Avista Utilities,Energy,kg/kWh,0.3142,EEI
Electricity supplied from grid - supplier Black Hills Energy,Energy,kg/kWh,0.6808,EEI
Electricity supplied from grid - supplier CMS Energy Consumers Energy,Energy,kg/kWh,0.5532,EEI
Electricity supplied from grid - supplier Dominion Energy,Energy,kg/kWh,0.2758,EEI
Electricity supplied from grid - supplier Dominion Energy South Carolina Electric & Gas,Energy,kg/kWh,0.3933,EEI
Electricity supplied from grid - supplier Dominion Energy Virginia,Energy,kg/kWh,0.303,EEI
Electricity supplied from grid - supplier DTE Energy,Energy,kg/kWh,0.5348,EEI
Electricity supplied from grid - supplier Duke Energy Carolinas,Energy,kg/kWh,0.2544,EEI
Electricity supplied from grid - supplier Duke Energy Corporation,Energy,kg/kWh,0.3683,EEI
Electricity supplied from grid - supplier Duke Energy Florida,Energy,kg/kWh,0.4346,EEI
Electricity supplied from grid - supplier Duke Energy Indiana,Energy,kg/kWh,0.7969,EEI
Electricity supplied from grid - supplier Duke Energy Kentucky,Energy,kg/kWh,0.8902,EEI
Electricity supplied from grid - supplier Duke Energy Ohio,Energy,kg/kWh,0.6502,EEI
Electricity supplied from grid - supplier Duke Energy Progress,Energy,kg/kWh,0.2237,EEI
Electricity supplied from grid - supplier Duquesne Light Company,Energy,kg/kWh,0.0222,EEI
Electricity supplied from grid - supplier Edison International Southern California Edison,Energy,kg/kWh,0.1698,EEI
Electricity supplied from grid - supplier El Paso Electric Company,Energy,kg/kWh,0.22,EEI
Electricity supplied from grid - supplier Emera Tampa Electric,Energy,kg/kWh,0.3692,EEI
Electricity supplied from grid - supplier Entergy Corporation Entergy Arkansas,Energy,kg/kWh,0.1783,EEI
Electricity supplied from grid - supplier Entergy Corporation Entergy Louisiana,Energy,kg/kWh,0.3461,EEI
Electricity supplied from grid - supplier Entergy Corporation Entergy Mississippi,Energy,kg/kWh,0.335,EEI
Electricity supplied from grid - supplier Entergy Corporation Entergy New Orleans,Energy,kg/kWh,0.181,EEI
Electricity supplied from grid - supplier Entergy Corporation Entergy Texas,Energy,kg/kWh,0.5026,EEI
Electricity supplied from grid - supplier Exelon Atlantic City Electric,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier Exelon Baltimore Gas & Electric,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier Exelon ComEd,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier Exelon Delmarva Power,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier Exelon PECO,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier Exelon PEPCO,Energy,kg/kWh,0.3928,EEI
Electricity supplied from grid - supplier First Energy Corp. Jersey Central Power & Light,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Met-Ed,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Mon Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Ohio Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Penelec,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Penn Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Potomac Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. The Illuminating Company,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. Toledo Edison,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier First Energy Corp. West Penn Power,Energy,kg/kWh,0.3325,EEI
Electricity supplied from grid - supplier Hawaiian Electric Industries Hawaiian Electric Company,Energy,kg/kWh,0.586,EEI
Electricity supplied from grid - supplier MGE Energy Madison Gas and Electric Company,Energy,kg/kWh,0.5715,EEI
Electricity supplied from grid - supplier Next Era Energy Florida Power & Light,Energy,kg/kWh,0.2862,EEI
Electricity supplied from grid - supplier Next Era Energy Gulf Power Company,Energy,kg/kWh,0.4649,EEI
Electricity supplied from grid - supplier NiSource NIPSCO,Energy,kg/kWh,0.4831,EEI
Electricity supplied from grid - supplier NorthWestern Energy,Energy,kg/kWh,0.4593,EEI
Electricity supplied from grid - supplier Otter Tail Corporation Otter Tail Power Company,Energy,kg/kWh,0.5336,EEI
Electricity supplied from grid - supplier PG&E Corporation Pacific Gas & Electric Company,Energy,kg/kWh,0.0254,EEI
Electricity supplied from grid - supplier Pinnacle West Capital Corporation Arizona Public Service Company,Energy,kg/kWh,0.445,EEI
Electricity supplied from grid - supplier PNM Resources PNM,Energy,kg/kWh,0.2431,EEI
Electricity supplied from grid - supplier Portland General Electric,Energy,kg/kWh,0.3216,EEI
Electricity supplied from grid - supplier Portland General Electric Portland General Electric,Energy,kg/kWh,0.39,EEI
Electricity supplied from grid - supplier PPL Corporation LG&E & KU Energy,Energy,kg/kWh,0.853,EEI
Electricity supplied from grid - supplier PPL Corporation PPL Electric Utilities,Energy,kg/kWh,0.368,EEI
Electricity supplied from grid - supplier PPL Corporation Rhode Island Energy,Energy,kg/kWh,0.292,EEI
Electricity supplied from grid - supplier PSEG Long Island,Energy,kg/kWh,0.4001,EEI
Electricity supplied from grid - supplier Puget Sound Energy,Energy,kg/kWh,0.3934,EEI
Electricity supplied from grid - supplier Tennessee Valley Authority,Energy,kg/kWh,0.2835,EEI
Electricity supplied from grid - supplier Xcel Energy Northern States Power Company,Energy,kg/kWh,0.2463,EEI
Electricity supplied from grid - supplier Xcel Energy Public Service Company of Colorado,Energy,kg/kWh,0.4214,EEI
Electricity supplied from grid - supplier Xcel Energy Southwestern Public Service Company,Energy,kg/kWh,0.4345,EEI
Accommodation,Restaurants and Accommodation,kg/nzd,0.2273,Market Economics Limited
Educational accommodation,Restaurants and Accommodation,kg/nzd,0.2273,Market Economics Limited
Agricultural and forestry equipment,Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.399,Market Economics Limited
Animal feed,Agriculture/Hunting/Forestry/Fishing,kg/nzd,1.581,Market Economics Limited
Fertilisers and pesticides,Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.3754,Market Economics Limited
Forage products/fibers/sugar crops/unmanufactured tobacco,Agriculture/Hunting/Forestry/Fishing,kg/nzd,3.11,Market Economics Limited
Living plants/buds/seeds/spice and aromatic crops,Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.6298,Market Economics Limited
Support services to agriculture (including animal husbandry),Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.479,Market Economics Limited
Cereals,Agriculture/Hunting/Forestry/Fishing,kg/nzd,3.692,Market Economics Limited
Kiwi fruit,Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.6553,Market Economics Limited
Other fruit and nuts,Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.6312,Market Economics Limited
Pome fruit (apples/pears),Agriculture/Hunting/Forestry/Fishing,kg/nzd,0.5383,Market Economics Limited
Vegetables,Agriculture/Hunting/Forestry/Fishing,kg/nzd,1.108,Market Economics Limited
Building joinery,Materials and Manufacturing,kg/nzd,0.3056,Market Economics Limited
Concrete and other non-metallic mineral products,Materials and Manufacturing,kg/nzd,0.89,Market Economics Limited
Gypsum/limestone/cement and building stone,Materials and Manufacturing,kg/nzd,0.437,Market Economics Limited
Materials for property alterations/additions and improvements,Materials and Manufacturing,kg/nzd,0.4694,Market Economics Limited
Property maintenance materials,Materials and Manufacturing,kg/nzd,0.6379,Market Economics Limited
Sands/pebbles/gravel/clays/stone and bitumen,Materials and Manufacturing,kg/nzd,0.4963,Market Economics Limited
Non-structural ceramic ware and clay products,Materials and Manufacturing,kg/nzd,0.7254,Market Economics Limited
Paints,Materials and Manufacturing,kg/nzd,0.5328,Market Economics Limited
Internet telecommunications services and online content,Information and Communication,kg/nzd,0.06811,Market Economics Limited
IT design and development related services,Information and Communication,kg/nzd,0.09344,Market Economics Limited
IT infrastructure provisioning and network management services,Information and Communication,kg/nzd,0.05913,Market Economics Limited
IT technical consulting and support services,Information and Communication,kg/nzd,0.06403,Market Economics Limited
Licensing services for the right to use computer software and databases,Information and Communication,kg/nzd,0.06088,Market Economics Limited
News agency/library and archive services,Information and Communication,kg/nzd,0.06237,Market Economics Limited
Postal and courier services,Information and Communication,kg/nzd,0.1917,Market Economics Limited
Postal services,Information and Communication,kg/nzd,0.074,Market Economics Limited
Publishing/printing and reproduction services,Information and Communication,kg/nzd,0.508,Market Economics Limited
Recording media,Information and Communication,kg/nzd,0.1705,Market Economics Limited
Sales and trade-ins for communication,Information and Communication,kg/nzd,0.1571,Market Economics Limited
Telecommunications services,Information and Communication,kg/nzd,0.06316,Market Economics Limited
Building completion work,Buildings and Infrastructure,kg/nzd,0.2566,Market Economics Limited
Non-residential building construction,Buildings and Infrastructure,kg/nzd,0.3225,Market Economics Limited
Pre-erection work,Buildings and Infrastructure,kg/nzd,0.2522,Market Economics Limited
Prefabricated buildings,Buildings and Infrastructure,kg/nzd,0.2734,Market Economics Limited
Residential building construction,Buildings and Infrastructure,kg/nzd,0.2569,Market Economics Limited
Admission charges to cinemas/theatres/concerts,Consumer Goods and Services,kg/nzd,0.08247,Market Economics Limited
Alcoholic beverages nec,Consumer Goods and Services,kg/nzd,0.3266,Market Economics Limited
